"wkn_514000";"wkn_515100";"wkn_519000";"wkn_543900";"wkn_555200";"wkn_555750";"wkn_575200";"wkn_500340"
71.05;28.625;38.72;62.37;20.27;16.18;29.31;36.7775
71.77;28.55;38.59;62.6;20.48;16.32;29.26;36.925
71.78;29.325;38.85;63.9;20.46;16.41;29.65;37.275
71.55;29.3;38.71;64.15;20.45;16.35;29.48;37.3375
71.22;29.415;39.04;65.0;20.34;16.34;29.41;36.975
71.58;29.925;39.76;67.54;20.44;16.47;29.76;36.9275
71.18;29.7;38.07;66.28;20.57;16.34;30.11;39.495
70.5;29.075;36.9;65.21;20.65;16.01;29.94;39.1525
69.7;28.825;36.8;65.03;20.59;16.03;29.92;38.7175
69.65;28.95;37.2;64.83;20.61;16.02;29.94;37.8625
70.55;29.375;37.58;64.66;20.77;16.32;30.45;37.925
71.8;29.375;37.25;65.29;20.76;16.4;29.92;37.75
71.75;29.445;36.9;65.34;20.67;16.09;29.85;37.52
71.2;29.115;36.63;65.26;20.57;15.96;29.62;37.6425
71.25;29.175;36.5;65.7;20.57;16.05;29.48;37.375
70.59;28.475;36.23;64.43;20.59;15.77;28.85;36.6875
70.65;28.925;36.64;64.23;20.31;15.77;28.73;36.755
70.1;28.585;36.85;63.56;20.28;15.66;28.65;36.92
71.5;28.875;37.14;64.59;20.75;15.69;28.94;37.03
71.55;29.0;37.29;65.3;20.74;15.67;28.96;35.9325
71.53;28.925;37.02;65.15;21.05;15.63;29.17;35.85
71.5;29.0;37.1;65.46;20.65;15.65;29.03;36.25
70.23;28.575;36.6;65.43;20.39;15.43;28.6;36.2775
69.45;28.2;35.8;64.26;20.03;15.27;28.36;35.575
70.05;28.5;36.13;64.45;20.22;15.37;28.58;35.825
69.65;28.325;35.95;64.39;20.15;15.34;28.3;35.18
70.2;28.425;36.4;64.08;20.47;15.38;28.6;36.15
70.8;28.8;36.39;64.95;19.69;15.27;28.7;36.9275
71.4;29.0;36.4;64.62;19.59;15.25;29.07;36.125
72.58;29.325;36.9;64.75;19.74;15.39;29.48;36.325
76.05;29.65;37.19;65.69;19.85;15.5;29.71;36.32
76.4;29.9;37.54;66.43;19.87;15.38;30.57;36.1875
76.35;30.025;37.24;66.88;20.0;15.36;30.63;36.0625
77.3;30.15;37.5;67.3;20.01;15.37;30.9;36.32
77.17;30.4;37.2;67.73;19.86;15.34;30.83;36.475
75.35;29.75;36.5;65.91;19.53;15.19;30.0;35.7625
75.45;29.81;36.56;66.49;19.64;15.26;29.91;35.55
74.9;29.75;36.59;66.36;19.42;15.15;29.98;35.3875
76.1;30.225;37.1;67.53;19.99;15.36;30.69;35.7475
75.45;29.925;36.98;66.58;19.55;15.16;30.38;35.125
76.7;30.15;37.85;67.3;19.76;15.18;30.53;35.9325
74.35;29.425;37.4;65.95;19.38;14.89;29.78;35.375
74.3;29.3;37.45;66.07;19.49;14.92;29.5;35.2375
74.85;29.65;37.5;66.37;19.43;15.0;29.38;35.3875
76.15;30.475;38.4;68.13;19.45;15.13;30.32;35.925
75.9;30.225;38.4;68.37;19.37;14.98;29.98;35.625
77.4;30.675;38.8;68.6;19.55;15.08;30.48;36.055
78.28;30.93;39.02;68.8;19.74;15.16;30.48;36.4625
77.95;31.3;38.99;68.28;19.48;15.14;30.58;36.2525
78.48;31.98;39.22;68.56;19.4;15.16;30.77;36.075
79.45;32.255;39.91;70.38;19.66;15.25;31.2;36.7725
78.33;31.87;39.44;69.96;19.8;15.11;30.39;36.935
76.64;31.155;38.65;68.62;19.61;15.25;29.97;36.6275
77.0;31.43;38.87;68.1;19.68;15.28;30.1;37.35
78.05;31.645;38.45;69.07;19.87;15.27;30.11;38.075
77.82;31.405;38.45;68.59;19.95;15.31;30.23;38.02
76.86;30.845;38.22;67.86;19.47;15.15;29.73;37.2075
75.5;30.62;38.31;67.84;18.98;15.08;29.57;37.7625
76.5;30.725;38.29;67.81;19.0;15.34;29.6;37.9625
76.75;30.25;38.07;67.77;18.86;15.25;29.47;37.5
76.05;30.07;37.86;66.3;18.73;15.15;29.38;37.4125
74.9;29.8;37.53;64.26;18.18;14.97;28.86;36.5325
75.1;29.755;36.79;62.99;17.97;14.92;28.83;36.5875
75.2;29.52;36.78;62.34;17.84;14.99;28.71;36.7675
76.3;30.28;37.24;64.23;18.36;15.02;29.27;35.6375
75.98;29.545;36.82;62.66;18.41;14.8;28.57;34.94
76.4;29.83;37.03;63.74;18.56;14.86;28.39;35.0
75.85;29.205;36.54;62.24;18.24;14.64;27.86;34.21
76.5;29.56;36.7;62.4;18.43;14.76;28.33;34.45
77.97;30.02;36.29;63.75;18.64;14.75;28.94;34.9875
77.62;29.99;36.29;64.71;18.57;14.48;28.85;34.925
78.9;29.73;36.53;66.22;18.64;14.93;29.03;35.66
79.5;29.725;35.82;66.93;18.77;14.97;29.41;35.6425
79.65;29.45;35.28;67.9;18.67;14.92;29.33;36.4475
79.69;29.925;36.27;67.61;18.82;14.98;29.69;36.57
79.43;29.645;36.67;67.82;18.78;15.04;29.38;36.59
80.4;30.16;36.49;68.2;19.08;14.69;30.78;37.0625
80.95;29.955;36.1;68.2;18.93;14.68;31.1;37.2625
81.83;30.41;36.83;68.81;19.0;14.63;31.77;37.2625
81.73;30.52;36.97;69.08;18.89;14.55;32.41;37.0
82.05;30.81;37.06;69.1;19.01;14.4;32.53;36.9625
80.7;30.455;37.02;69.66;18.79;14.26;32.48;36.165
81.15;30.595;37.37;70.0;18.83;14.28;33.03;36.515
81.56;30.64;37.72;70.33;18.74;14.28;33.34;36.62
82.37;31.0;37.95;71.1;18.83;14.36;33.85;36.74
82.65;31.06;37.43;71.17;18.78;14.29;33.96;36.795
84.0;31.22;37.3;71.11;18.98;14.44;33.59;36.95
83.65;31.34;37.32;70.52;18.95;14.44;33.43;36.875
84.0;31.38;37.32;70.11;18.78;14.39;33.55;36.875
83.1;31.13;37.2;70.06;18.45;14.25;33.42;36.8325
83.7;31.345;37.27;71.82;18.38;14.2;33.69;36.7
83.0;31.25;37.34;71.92;18.49;14.11;33.84;37.255
84.45;31.96;37.56;72.94;18.55;14.17;34.64;37.7525
84.8;31.835;37.84;73.0;18.6;14.15;34.94;37.875
83.9;31.62;37.94;73.52;18.52;13.91;34.76;38.32
84.73;31.835;38.01;73.96;18.65;14.01;34.58;38.2925
83.95;31.42;37.47;73.35;19.07;14.04;34.08;38.0575
83.55;31.46;37.42;72.88;19.27;14.0;34.2;39.11
83.7;31.545;37.65;73.37;19.37;14.04;34.04;39.21
83.45;31.35;37.56;73.22;19.3;14.04;33.88;39.1075
82.65;31.4;37.48;73.99;19.63;14.05;33.76;39.3875
81.7;31.545;37.31;74.12;19.54;14.04;34.28;39.3
81.28;31.6;36.95;74.33;19.45;13.97;34.2;39.4875
82.45;32.12;37.06;74.08;19.5;13.93;34.39;39.68
81.7;31.975;36.86;73.9;19.58;13.77;34.26;39.87
81.95;32.15;37.0;74.06;19.7;13.79;34.67;40.43
82.75;32.45;36.68;73.85;19.96;13.88;35.4;40.0075
82.35;32.345;36.71;74.06;20.26;13.9;35.42;40.4925
82.68;32.47;36.8;73.57;20.52;13.98;35.76;40.3525
82.68;32.47;36.8;73.57;20.52;13.98;35.76;40.3525
82.55;32.46;36.85;73.73;20.43;14.01;35.83;40.6275
82.82;32.55;37.16;74.46;20.52;14.09;35.87;40.3925
82.5;32.645;37.35;75.44;20.58;14.11;35.8;40.3
81.98;32.365;37.0;74.9;20.52;14.06;35.23;40.085
81.93;32.425;37.46;75.34;20.88;14.1;35.58;41.225
